p	T	rh
1.000000e+03	2.994500e+02	7.300000e-01
9.800000e+02	2.977320e+02	7.883598e-01
9.600000e+02	2.961710e+02	8.269753e-01
9.400000e+02	2.950181e+02	8.334060e-01
9.200000e+02	2.937640e+02	8.304662e-01
9.000000e+02	2.928023e+02	7.857001e-01
8.800000e+02	2.915213e+02	8.828740e-01
8.600000e+02	2.913021e+02	8.384039e-01
8.400000e+02	2.903373e+02	8.300000e-01
8.200000e+02	2.900828e+02	7.355206e-01
8.000000e+02	2.891987e+02	6.424367e-01
7.800000e+02	2.882742e+02	5.562113e-01
7.600000e+02	2.869500e+02	5.561498e-01
7.400000e+02	2.857500e+02	5.669277e-01
7.200000e+02	2.853643e+02	4.800000e-01
7.000000e+02	2.846591e+02	4.700000e-01
6.800000e+02	2.826805e+02	5.256480e-01
6.600000e+02	2.807137e+02	5.491025e-01
6.400000e+02	2.788786e+02	5.814306e-01
6.200000e+02	2.772119e+02	5.700000e-01
6.000000e+02	2.757591e+02	5.390894e-01
5.800000e+02	2.737025e+02	6.000000e-01
5.600000e+02	2.713955e+02	7.000000e-01
5.400000e+02	2.701223e+02	6.772256e-01
5.200000e+02	2.687389e+02	4.983360e-01
5.000000e+02	2.669342e+02	4.831528e-01
4.800000e+02	2.646971e+02	5.800000e-01
4.600000e+02	2.622001e+02	6.049935e-01
4.400000e+02	2.597500e+02	6.600000e-01
4.200000e+02	2.576751e+02	5.725089e-01
4.000000e+02	2.556089e+02	3.276735e-01
3.800000e+02	2.529701e+02	4.180142e-01
3.600000e+02	2.505286e+02	2.200000e-01
3.400000e+02	2.472654e+02	2.307706e-01
3.200000e+02	2.443410e+02	4.300000e-01
3.000000e+02	2.411137e+02	3.863679e-01
2.800000e+02	2.372578e+02	3.200000e-01
2.600000e+02	2.322592e+02	4.000000e-01
2.400000e+02	2.277410e+02	3.545511e-01
2.200000e+02	2.229137e+02	3.863694e-01
2.000000e+02	2.179602e+02	3.000000e-01
1.800000e+02	2.123001e+02	2.900000e-01
1.600000e+02	2.083168e+02	2.300000e-01
1.400000e+02	2.031876e+02	2.100000e-01
1.200000e+02	1.959930e+02	2.000000e-01
1.000000e+02	1.922832e+02	2.200000e-01
8.000000e+01	1.989500e+02	2.000000e-01
6.000000e+01	2.029500e+02	1.300000e-01
4.000000e+01	2.168500e+02	5.000000e-02
